,name,hrefs,type,boxoffice,area,avgprice,avgpepole,releasetime,director
0,八佰,https://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=669412,战争,206778,中国,38,31,2020-08-21,管虎 Hu Guan|12276/
1,宠爱,https://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=685447,剧情,51030,中国,35,8,2019-12-31,杨子 Larry Yang|2226264/
2,误杀,https://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=693266,剧情,49929,中国,33,8,2019-12-13,柯汶利 Sam Quah|2354557/
3,我在时间尽头等你,https://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=684830,爱情,43905,中国,35,22,2020-08-25,姚婷婷 Ting Ting Yao|2024527/
4,叶问4：完结篇,https://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=624015,动作,41837,中国/中国香港,36,7,2019-12-20,叶伟信 Wilson Yip|2230/
5,哈利·波特与魔法石,https://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=412178,魔幻/动作,18665,英国,35,9,2002-01-31,克里斯·哥伦布 Chris Columbus|538101/
6,多力特的奇幻冒险,https://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=662461,喜剧,13587,美国,32,7,2020-07-24,杨乐 Le Yang|1871089/
7,星际穿越,https://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=346481,科幻,12141,美国/英国,30,8,2014-11-12,克里斯托弗·诺兰 Christopher Nolan|66379/
8,我为你牺牲,https://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=696120,剧情,10610,中国,71,54,2019-12-05,安战军 Zhanjun An|2475/
9,变身特工,https://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=694783,动画,10340,美国,35,6,2020-01-03,特洛伊·奎安 Troy Quane|511866/尼克·布鲁诺 Nick Bruno|1148029/
10,1917,https://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=682205,战争,6876,美国,32,5,2020-08-07,萨姆·门德斯 Sam Mendes|372050/
11,美丽人生,https://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=456236,剧情,5808,意大利,34,6,2020-01-03,罗伯托·贝尼尼 Roberto Benigni|134559/
12,天使陷落,https://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=694876,动作,5506,美国,33,6,2019-12-31,里克·罗曼·沃夫 Ric Roman Waugh|227389/
13,荞麦疯长,https://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=673894,剧情,5032,中国,36,11,2020-08-25,徐展雄 Xu Zhanxiong|2181448/
14,紫罗兰永恒花园外传：永远与自动手记人偶,https://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=695496,剧情,4853,日本,30,4,2020-01-10,藤田春香 Fujita Haruka|2399895/
15,鲨海逃生,https://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=694805,灾难,4752,美国/英国,30,4,2020-01-10,约翰内斯·罗伯茨 Johannes Roberts|2248427/
16,我和我的祖国,https://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=691481,剧情,4750,中国/中国香港,79,302,2019-09-30,陈凯歌 Kaige Chen|403/张一白 Yibai Zhang|27/管虎 Hu Guan|12276/薛晓路 Xiaolu Xue|4291/徐峥 Zheng Xu|94/宁浩 Hao Ning|3337/文牧野 Muye Wen|2226550/
17,半个喜剧,https://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=679955,喜剧,4568,中国,36,7,2019-12-20,刘露 Lu Liu|2270668/周申 |2179646/
18,喋血战士,https://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=695823,动作,4552,美国,29,6,2020-07-24,戴夫·威尔逊 Dave Wilson|2368991/
19,1/2的魔法,https://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=695739,动画,4430,美国,32,8,2020-08-19,丹·斯坎隆 Dan·ShiKanLong|2022077/
20,动物特工局,https://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=679292,动画,4417,中国/法国,32,4,2020-01-11,张志一 Zhiyi Zhang|2303433/纪约姆·伊弗奈 Guillaume Ivernel|2396367/
21,冰雪奇缘2,https://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=676432,动画,3805,美国,34,7,2019-11-22,珍妮弗·李 Jennifer Lee|2189071/克里斯·巴克 Chris Buck|464431/
22,熊出没·狂野大陆,https://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=695236,动画,3673,中国,36,13,,丁亮 Leon Ding|2349150/邵和麒 Heqi Shao|2228948/
23,小妇人,https://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=681780,剧情,3663,美国,33,10,2020-08-25,格蕾塔·葛韦格 Greta Gerwig|240367/
24,绝地战警：疾速追击,https://www.endata.com.cn/BoxOffice/MovieStock/movieShow.html?id=573724,动作,3505,美国,30,5,2020-08-14,阿迪尔·埃尔·阿比 Adil El Arbi|2369998/比拉勒·法拉赫 Bilall Fallah|2399166/
