0,1,688155,先惠技术,详细,-,6278万,674万,831.95,-213.48,-,-,-,-,-,-,专用设备,08-05,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688155.html
1,2,688339,亿华通,详细,-,1750万,1557万,12.41,-224.61,-3238万,-3289万,1.53,-297.37,-,-,电子元件,08-04,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688339.html
2,3,688378,奥来德,详细,-,1.18亿,4723万,150.34,-,4503万,2582万,74.42,-,-,-,专用设备,08-03,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688378.html
3,4,688338,赛科希德,详细,-,3209万,4741万,-32.32,-378.72,353万,1149万,-69.30,-390.99,-,-,医疗行业,07-29,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688338.html
4,5,300885,海昌新材,详细,-,3201万,4308万,-25.70,-,999万,1027万,-2.76,-,-,-,金属制品,07-23,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/300885.html
5,6,688393,安必平,详细,-,3846万,7076万,-45.64,-,988万,1571万,-37.12,-,-,-,医疗行业,07-21,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688393.html
6,7,300856,科思股份,详细,-,3.02亿,3.06亿,-1.43,-,4709万,4469万,5.38,-,-,-,化工行业,07-21,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/300856.html
7,8,601456,国联证券,详细,-,4.95亿,5.77亿,-14.23,-,2.29亿,2.95亿,-22.37,-,-,-,券商信托,07-20,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/601456.html
8,9,688093,世华科技,详细,-,4553万,3253万,39.98,-,1170万,493万,137.03,-,-,-,材料行业,07-16,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688093.html
9,10,300876,蒙泰高新,详细,-,7251万,-,-,-,1579万,-,-,-,-,-,化纤行业,07-16,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/300876.html
10,11,300870,欧陆通,详细,-,3.08亿,2.38亿,29.61,-,2754万,1186万,132.17,-,-,-,电子元件,07-14,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/300870.html
11,12,688536,思瑞浦,详细,-,1.28亿,3210万,297.71,-,4306万,-504万,954.61,-,-,-,电子元件,07-13,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688536.html
12,13,688313,仕佳光子,详细,-,1.22亿,1.28亿,-5.23,-,1058万,-469万,325.68,-,-,-,通讯行业,07-13,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688313.html
13,14,300889,爱克股份,详细,-,1.88亿,2.7亿,-30.28,-,2353万,3002万,-21.61,-,-,-,电子元件,07-11,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/300889.html
14,15,300880,迦南智能,详细,-,5347万,5200万,2.83,-,1137万,587万,93.65,-,-,-,仪器仪表,07-11,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/300880.html
15,16,300871,回盛生物,详细,-,1.35亿,9283万,45.43,-,2532万,1683万,50.46,-,-,-,医药制造,07-11,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/300871.html
16,17,300865,大宏立,详细,-,9291万,-,-,-,1549万,-,-,-,-,-,专用设备,07-10,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/300865.html
17,18,300863,卡倍亿,详细,-,1.47亿,1.86亿,-20.72,-,980万,886万,10.55,-,-,-,汽车行业,07-10,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/300863.html
18,19,688013,天臣医疗,详细,-,3054万,3388万,-9.86,-,601万,710万,-15.37,-,-,-,医疗行业,07-09,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688013.html
19,20,300896,爱美客,详细,-,7919万,1亿,-20.98,-,4307万,5218万,-17.46,-,-,-,医疗行业,07-09,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/300896.html
20,21,300868,杰美特,详细,-,1.66亿,1.85亿,-10.35,-,2762万,3203万,-13.77,-,-,-,塑胶制品,07-09,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/300868.html
21,22,688180,君实生物,详细,-,1.72亿,7908万,117.56,-343.20,-2.29亿,-3.71亿,38.11,271.59,-,-,医药制造,07-08,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688180.html
22,23,688127,蓝特光学,详细,-,8992万,4575万,96.52,-,3699万,824万,348.69,-,-,-,电子元件,07-08,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688127.html
23,24,300860,锋尚文化,详细,-,1.12亿,3480万,221.03,-,2026万,675万,200.00,-,-,-,文化传媒,07-08,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/300860.html
24,25,688286,敏芯股份,详细,-,5790万,5587万,3.62,-,624万,918万,-32.02,-,-,-,电子元件,07-06,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688286.html
25,26,688561,奇安信,详细,-,2.26亿,3.75亿,-39.77,-,-5.44亿,-3.4亿,-60.00,-,-,-,电子信息,07-03,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688561.html
26,27,688551,科威尔,详细,-,1399万,2400万,-41.71,-,-1200,754万,-100.02,-,-,-,专用设备,07-03,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/688551.html
27,28,300855,图南股份,详细,-,1.02亿,9685万,4.88,-,1341万,1302万,3.05,-,-,-,金属制品,07-03,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjkb/300855.html
